Video,Views,
"Panghat – Roohi | Rajkummar – Janhvi - Varun | Sachin- Jigar, Amitabh B | Asees Kaur","183,199,453",
8 Parche | Baani Sandhu | Gur Sidhu | Gurneet Dosanjh | Punjabi Song | White Hill Music,"183,116,386",
"A Cara do Crime ""NÓS INCOMODA""- MC Poze do Rodo | Bielzin | PL Quest | MC Cabelinho (prod. Neobeats)","182,269,454",
BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V,"182,172,091",
"J Balvin, Willy William - Mi Gente (Official Video)","182,014,611",
Sub Urban - Cradles [Official Music Video],"181,545,106",
"Santa Fe Klan, Neto Peña, Yoss Bones - Debo Entender","181,414,105",
"Camilo, El Alfa - BEBÉ (Official Video)","181,212,786",
BTS (방탄소년단) 'Film out' Official MV,"181,148,952",
JENNIE - 'SOLO' M/V,"180,925,646",
BamBholle - Full Video | Laxmii | Akshay Kumar | Viruss | Ullumanati,"180,814,302",
Bruno Mars - That’s What I Like [Official Music Video],"180,768,817",
Lady Gaga - Bad Romance (Official Music Video),"179,411,560",
"ยังฮักไผอีกได้บ่ - มนต์แคน แก่นคูน , มีนตรา อินทิรา 【MUSIC VIDEO】","178,917,709",
Arctic Monkeys - Do I Wanna Know? (Official Video),"178,841,464",
Paulo Londra ft Lenny Tavarez - Nena Maldicion (Official Video),"178,463,617",
Badshah – Genda Phool | Jacqueline Fernandez | Payal Dev | Hit Anthem of the Year 2021,"178,143,862",
Michael Jackson - Smooth Criminal (Official Video),"177,773,908",
"TWICE ""The Feels"" M/V","177,754,679",
"Full Song: Muqabla | Street Dancer 3D |A.R. Rahman, Prabhudeva, Varun D, Shraddha K, Tanishk B","177,588,815",
"Tujh Mein Rab Dikhta Hai Song | Rab Ne Bana Di Jodi | Shah Rukh Khan, Anushka Sharma | Roop Kumar","177,390,683",
كليب اندال اندال ( مع انها لسعة شوية ) احمد موزه السلطان - انتاج لايك استديو,"177,144,236",
Tyga - Taste (Official Video) ft. Offset,"177,067,086",
"NO ME CONOCEN (REMIX) - BANDIDO, DUKI, REI, TIAGO PZK (VIDEO OFICIAL)","176,634,001",
The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video),"176,115,837",
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") (Official Video)","176,081,963",
"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka","175,863,190",
